#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AGR2	EPCAM	9606.ENSP00000391490	9606.ENSP00000263735	0	0	0	0	0.251	0	0	0.321	0.469
AGR2	KRT19	9606.ENSP00000391490	9606.ENSP00000355124	0	0	0	0	0.384	0	0	0.370	0.595
AGR2	TACSTD2	9606.ENSP00000391490	9606.ENSP00000360269	0	0	0	0	0.290	0	0	0.211	0.416
AGR2	MUC1	9606.ENSP00000391490	9606.ENSP00000484824	0	0	0	0	0.213	0	0	0.365	0.479
CD24	EPCAM	9606.ENSP00000481841	9606.ENSP00000263735	0	0	0	0	0.267	0	0	0.882	0.910
CD24	KRT19	9606.ENSP00000481841	9606.ENSP00000355124	0	0	0	0	0.166	0	0	0.582	0.636
CD24	GATA3	9606.ENSP00000481841	9606.ENSP00000368632	0	0	0	0	0.087	0	0	0.487	0.512
CD24	SDC1	9606.ENSP00000481841	9606.ENSP00000370542	0	0	0	0	0.070	0	0	0.580	0.593
CD24	CD9	9606.ENSP00000481841	9606.ENSP00000371958	0	0	0	0	0.118	0	0	0.575	0.609
CD24	MUC1	9606.ENSP00000481841	9606.ENSP00000484824	0	0	0	0	0.064	0	0	0.542	0.552
CD9	EPCAM	9606.ENSP00000371958	9606.ENSP00000263735	0	0	0	0	0.083	0	0	0.941	0.943
CD9	SDC1	9606.ENSP00000371958	9606.ENSP00000370542	0	0	0	0	0.076	0.292	0	0.447	0.606
CD9	CD24	9606.ENSP00000371958	9606.ENSP00000481841	0	0	0	0	0.118	0	0	0.575	0.609
EPCAM	SDC1	9606.ENSP00000263735	9606.ENSP00000370542	0	0	0	0	0.109	0	0	0.396	0.438
EPCAM	AGR2	9606.ENSP00000263735	9606.ENSP00000391490	0	0	0	0	0.251	0	0	0.321	0.469
EPCAM	KRT19	9606.ENSP00000263735	9606.ENSP00000355124	0	0	0	0	0.436	0	0	0.811	0.888
EPCAM	CD24	9606.ENSP00000263735	9606.ENSP00000481841	0	0	0	0	0.267	0	0	0.882	0.910
EPCAM	MUC1	9606.ENSP00000263735	9606.ENSP00000484824	0	0	0	0	0.126	0	0	0.913	0.920
EPCAM	CD9	9606.ENSP00000263735	9606.ENSP00000371958	0	0	0	0	0.083	0	0	0.941	0.943
GATA3	KRT19	9606.ENSP00000368632	9606.ENSP00000355124	0	0	0	0	0.094	0.094	0	0.408	0.472
GATA3	MUC1	9606.ENSP00000368632	9606.ENSP00000484824	0	0	0	0	0.072	0.045	0	0.409	0.430
GATA3	CD24	9606.ENSP00000368632	9606.ENSP00000481841	0	0	0	0	0.087	0	0	0.487	0.512
KRT19	EPCAM	9606.ENSP00000355124	9606.ENSP00000263735	0	0	0	0	0.436	0	0	0.811	0.888
KRT19	GATA3	9606.ENSP00000355124	9606.ENSP00000368632	0	0	0	0	0.094	0.094	0	0.408	0.472
KRT19	TACSTD2	9606.ENSP00000355124	9606.ENSP00000360269	0	0	0	0	0.252	0	0	0.427	0.553
KRT19	AGR2	9606.ENSP00000355124	9606.ENSP00000391490	0	0	0	0	0.384	0	0	0.370	0.595
KRT19	CD24	9606.ENSP00000355124	9606.ENSP00000481841	0	0	0	0	0.166	0	0	0.582	0.636
KRT19	MUC1	9606.ENSP00000355124	9606.ENSP00000484824	0	0	0	0	0.180	0.099	0	0.720	0.775
MUC1	EPCAM	9606.ENSP00000484824	9606.ENSP00000263735	0	0	0	0	0.126	0	0	0.913	0.920
MUC1	KRT19	9606.ENSP00000484824	9606.ENSP00000355124	0	0	0	0	0.180	0.099	0	0.720	0.775
MUC1	TACSTD2	9606.ENSP00000484824	9606.ENSP00000360269	0	0	0	0	0.162	0	0	0.405	0.480
MUC1	GATA3	9606.ENSP00000484824	9606.ENSP00000368632	0	0	0	0	0.072	0.045	0	0.409	0.430
MUC1	SDC1	9606.ENSP00000484824	9606.ENSP00000370542	0	0	0	0	0.103	0.045	0	0.390	0.431
MUC1	AGR2	9606.ENSP00000484824	9606.ENSP00000391490	0	0	0	0	0.213	0	0	0.365	0.479
MUC1	CD24	9606.ENSP00000484824	9606.ENSP00000481841	0	0	0	0	0.064	0	0	0.542	0.552
SDC1	EPCAM	9606.ENSP00000370542	9606.ENSP00000263735	0	0	0	0	0.109	0	0	0.396	0.438
SDC1	MUC1	9606.ENSP00000370542	9606.ENSP00000484824	0	0	0	0	0.103	0.045	0	0.390	0.431
SDC1	CD24	9606.ENSP00000370542	9606.ENSP00000481841	0	0	0	0	0.070	0	0	0.580	0.593
SDC1	CD9	9606.ENSP00000370542	9606.ENSP00000371958	0	0	0	0	0.076	0.292	0	0.447	0.606
TACSTD2	KRT19	9606.ENSP00000360269	9606.ENSP00000355124	0	0	0	0	0.252	0	0	0.427	0.553
TACSTD2	AGR2	9606.ENSP00000360269	9606.ENSP00000391490	0	0	0	0	0.290	0	0	0.211	0.416
TACSTD2	MUC1	9606.ENSP00000360269	9606.ENSP00000484824	0	0	0	0	0.162	0	0	0.405	0.480
